#,M_cl/M_sun,r_h/pc,Z/Z_sun,f_bin(0),T_evol/Gyr,"N_mrg,NBODY7",N_stars,rho_h,f_0,m_up,clusterBHBdynamics_mergers,Ratios,,,,,
80,50000.00,2.00,0.36,0.00,11.00,1.00,78369.91,746.04,0.044,34.00,0.2450,4.08,,,,,
81,50000.00,2.00,0.36,0.00,11.00,4.00,78369.91,746.04,0.044,34.00,0.2450,16.33,,,,,
82,50000.00,2.00,0.71,0.00,11.00,1.00,78369.91,746.04,0.032,26.00,0.3300,3.03,,,,,
83,50000.00,2.00,0.71,0.00,11.00,3.00,78369.91,746.04,0.032,26.00,0.3300,9.09,,,,,
84,50000.00,2.00,0.71,0.05,11.00,2.00,78369.91,746.04,0.032,26.00,0.3300,6.06,,,,,
86,50000.00,2.00,1.00,0.00,10.00,3.00,78369.91,746.04,0.026,21.00,0.3750,8.00,,,,,
87,50000.00,2.00,1.00,0.05,11.00,2.00,78369.91,746.04,0.026,21.00,0.3900,5.13,,,,,
88,50000.00,2.00,1.00,0.05,2.80,2.00,78369.91,746.04,0.026,21.00,0.2350,8.51,,,,,
89,50000.00,2.00,1.43,0.00,9.90,0.00,78369.91,746.04,0.022,14.00,0.5200,0.00,,,,,
90,50000.00,2.00,1.43,0.00,11.00,3.00,78369.91,746.04,0.022,14.00,0.5300,5.66,,,,,
92,70000.00,2.00,0.01,0.05,11.00,3.00,109717.87,1044.45,0.059,43.00,0.3550,8.45,,,,,
93,70000.00,2.00,0.07,0.00,11.00,2.00,109717.87,1044.45,0.054,38.00,0.4050,4.94,,,,,
94,70000.00,2.00,0.07,0.00,11.00,3.00,109717.87,1044.45,0.054,38.00,0.4050,7.41,,,,,
95,70000.00,2.00,0.07,0.00,11.00,3.00,109717.87,1044.45,0.054,38.00,0.4050,7.41,,,,,
96,70000.00,2.00,0.07,0.05,11.00,5.00,109717.87,1044.45,0.054,38.00,0.4050,12.35,,,,,
97,70000.00,2.00,0.07,0.05,9.80,6.00,109717.87,1044.45,0.054,38.00,0.3900,15.38,,,,,
98,70000.00,2.00,0.36,0.00,11.00,4.00,109717.87,1044.45,0.044,34.00,0.4500,8.89,,,,,
99,70000.00,2.00,0.71,0.00,11.00,6.00,109717.87,1044.45,0.032,26.00,0.6000,10.00,,,,,
100,70000.00,2.00,0.71,0.05,11.00,2.00,109717.87,1044.45,0.032,26.00,0.6000,3.33,,,,,
101,70000.00,2.00,1.43,0.00,11.00,6.00,109717.87,1044.45,0.022,14.00,1.0400,5.77,,,,,
102,70000.00,2.00,1.43,0.00,11.00,4.00,109717.87,1044.45,0.022,14.00,1.0400,3.85,,,,,
103,70000.00,2.00,1.43,0.05,11.00,2.00,109717.87,1044.45,0.022,14.00,1.0400,1.92,,,,,
104,75000.00,2.00,0.05,0.00,10.00,7.00,117554.86,1119.06,0.055,40.00,0.4250,16.47,,,,,
105,75000.00,2.00,0.25,0.00,10.00,3.00,117554.86,1119.06,0.044,36.00,0.4650,6.45,,,,,
106,100000.00,2.00,0.05,0.00,1.00,3.00,156739.81,1492.08,0.055,40.00,0.4000,7.50,,,,,
107,100000.00,2.00,0.07,0.00,11.00,6.00,156739.81,1492.08,0.054,38.00,0.7700,7.79,,,,,
109,100000.00,2.00,0.25,0.00,1.00,4.00,156739.81,1492.08,0.044,36.00,0.3000,13.33,,,,,
110,100000.00,2.00,0.50,0.00,1.00,1.00,156739.81,1492.08,0.038,30.00,0.3400,2.94,,,,,
